energy,sStart,sDisc,theta,label
0.2339962101206623,18.5,0.9277176008411394,0.20138831084461356,Neutron
208.10577498857023,0.0,0.10532108824299242,0.17552881465079231,Photon
8.244049055064371,0.0,0.4236703854137829,1.7655754961640073,Electron
0.764730263101755,0.0,0.23044395790338246,1.7662403778104494,Photon
0.8133045982947741,0.0,0.40221063239975136,1.7666440409221185,Photon
11.737072109179744,0.0,0.6583205548954586,0.8179408129856522,Photon
0.2910630046855073,0.0,0.8704554320417539,0.8093217739782483,Neutron
36.69787886655903,0.0,0.8322409369296175,1.8115096693542683,Pion
1.4494262407522098,0.0,0.5473437183056618,1.810911245160105,Photon
91.38975297063885,1.0,0.07545810156978984,2.653134206209399,Electron
0.5008343366744064,7.0,0.5466236011677165,2.6530278514301537,Photon
1.2920184405543131,2.5,0.9751458845832243,2.650975534438979,Photon
0.6958578962979758,3.5,0.8969557318042712,2.640090760665442,Neutron
183.01214931620106,2.0,0.11338959224155959,2.9524880460779963,Photon
84.53549115193657,1.0,0.11298310067122923,2.7000318645947043,Electron
0.23245637042757977,3.0,0.6127362805071809,2.688209540390128,Neutron
8.467198657858402,3.5,0.25101715589579354,2.70036202928113,Photon
99.30461068881863,2.0,0.16180541198302278,2.6951575301625827,Electron
0.12477235960277294,7.0,0.6409059122664627,2.6848691116446024,Photon
2.1115683928314746,11.5,0.6543440373179019,2.6927094928533086,Neutron
6.93391805454271,0.0,0.3481180526886578,1.3816856564200024,Electron
0.24033154177344201,0.0,0.6331974298247293,1.3685871305142112,Neutron
83.6446473911414,0.5,0.13887054895534756,2.7377488348196004,Electron
0.2616548953148544,6.5,0.5921769092250987,2.7255612309134607,Neutron
0.7734549412898203,5.0,1.0435357449658698,2.732837159588614,Neutron
31.123024947671286,0.0,0.5089903748315115,1.9844311308895062,Pion
7.972695487795363,0.0,0.7131982556591717,1.3818230036934946,Pion
0.3989183609377502,0.0,0.5707496497211583,1.378190009859384,Neutron
2.4438859620327644,0.0,0.47062836190799856,1.3799206789717542,Photon
24.069347173497214,0.5,0.14248476244215963,0.5002413062659076,Electron
0.31894783060529064,0.0,0.6236116083858797,0.4999725538758786,Neutron
0.27378396499017577,8.5,0.8932767340839789,0.504084856832242,Neutron
33.462304052163276,0.0,0.3815264862160245,1.4474703443784802,Electron
0.3320971213822497,3.0,0.5400358543896155,1.4464455375114822,Neutron
0.6684205780254728,0.0,0.4749428739873595,0.6905664276734031,Neutron
8.325354778399706,0.0,0.79451061873867,0.6929066177256628,Photon
1.216848042029102,0.0,0.8009984030353992,0.6823442065375583,Photon
7.941768259061825,0.0,0.40860759175592026,2.366750912768649,Photon
28.210355786735338,0.0,0.5300144098746234,1.714215021444166,Pion
2.703605844989659,3.5,0.5261199875756065,2.760731745159491,Photon
11.42272327325254,0.5,0.21004481016882393,2.762274656255936,Photon
25.910538261026186,0.0,0.6075822773392049,0.9234185617138847,Pion
19.20058467529343,0.0,0.466545050488296,1.6981515121012782,Electron
0.9273497967316221,0.5,0.5555110991649297,1.694542949577895,Photon
